Site,N,shannon.di,simpson.di,inv.simpson.di,richness,evenness,City,Long,Lat,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca
IRC06,16,0.6615632381579821,0.46875,1.8823529411764703,3,0.6021808102656678,lbca,-117.65291929031022,33.73468139211798,11,0.9974683544303797,2.048780487804878,4.18,1.1953189601472658,121812.08101265822,1.6568039302164295
IRC07,78,1.5091088548655942,0.7337278106508877,3.755555555555557,8,0.7257279536920718,lbca,-117.6474829372618,33.719440685685356,11,0.09090909090909091,2.057052752293578,4.18,4.001152944702096,134619.72727272726,0.26664812760258416
MA,20,1.094408629847781,0.5399999999999999,2.1739130434782603,6,0.6108010861074371,oaca,-122.19667933091584,37.72322142384811,10,0.6256038647342995,23.495420721236407,7.456473429951691,0.32604617014541065,62456.3768115942,-0.7138657039608634
MT,139,1.2576956224741584,0.6404430412504529,2.781200518209299,7,0.6463276955951618,oaca,-122.1403056978608,37.7922600644958,10,1,5.0923429882420415,2.515170731707317,4.625105755316049,151022.9804878049,1.4005293502964204
MY,0,0,1,Inf,1,NA,oaca,-122.209320587315,37.7778336851881,10,0.8102189781021898,22.80280882774434,4.945863746958637,2339.458053038102,68799.9805352798,-3.267776901552151
OAK,46,1.1063859240941527,0.5633270321361058,2.2900432900432897,7,0.5685698924132099,lbca,-117.80007884799603,33.81065672706404,11,0.8239795918367347,17.278048780487804,5.102372448979592,199.35643627920842,120314.25510204081,-0.13410274615922257
P-BLP,194,1.4735707035143668,0.676320544159847,3.0894762764734853,10,0.6399636252305821,tawa,-122.28283031300816,47.16168229763593,10,0.9010526315789473,19.862880091795756,7,190.67572203852632,59750,-0.22285994603945883
P-CCP,812,1.7483831210903749,0.7923936518721638,4.816808392507524,11,0.7291323941141067,tawa,-122.32022008391868,47.18141910672656,10,1,17.386357122384638,9,220.62691676635504,73125,0.09957897525647229
P-CUP,411,1.5128068115396025,0.7414590252248092,3.867858860165319,8,0.7275062949437431,tawa,-122.471320086731,47.27295174449351,10,1,17.743150684931507,6,763.9101210769622,129773,-0.6026674219476345
P-DPV,275,1.3367337112418702,0.6476694214876033,2.838243572902983,9,0.608373729763411,tawa,-122.5436402745423,47.3165085016772,10,0.9225941422594143,1.1476817401259303,5,0,88606,1.6195758512944007
P-GP,100,0.11190205689093088,0.0394000000000001,1.0410160316468875,4,0.08072027127091032,tawa,-122.45745032482698,47.269890460874926,10,0.9979166666666667,16.152323580034423,9,619.9234059690375,69066,-0.29393043468624447
P-MKP3,310,1.0372278186907515,0.4836004162330906,1.9364849071051464,8,0.49880114343240806,tawa,-122.4237000776792,47.2352303289375,10,0.7584033613445378,22.602853067047075,10,429.0914242201643,62994.36974789916,-0.9663346679412126
P-OB,151,1.342550235529129,0.6654971273189771,2.989510947948079,8,0.6456301889807281,tawa,-122.5304601657384,47.31318888282613,10,0.7229166666666667,2.2156581588758244,5,0,88606,1.2245050932122008
P-OLT,301,1.740930813849371,0.7786669021313231,4.518077095696405,11,0.7260245406037628,tawa,-122.2727399501913,46.91265010614948,10,0.9451476793248945,1.8497424155695479,1,2.9819160588531646,70190,1.5913380570462554
P-OV2,97,1.000435165785294,0.4742268041237113,1.9019607843137256,8,0.48110761746979064,tawa,-122.34327690455926,46.87009737411258,10,1,2.3218785796105386,1,11.554465603122013,70190,1.6248942866793068
P-PCNA2,120,1.4526112441004957,0.6718055555555555,3.046974185357596,9,0.6611118677097416,tawa,-122.48432986987385,47.27683082960451,10,1,18.71195652173913,5.915254237288136,533.6810909686102,126579.10169491525,-0.3992434717469271
P-RP,476,1.6639663790029162,0.76456464938916735,4.2474505098980195,9,0.7573037349783367,tawa,-122.51225005999778,47.29719932320845,10,0.9516806722689075,20.868941783768282,5,782.0506131775735,88606,-0.9618017058481654
P-RWSR,275,1.556234294584713,0.7404429752066116,3.8527179173671615,11,0.6490001094870879,tawa,-122.26845992226572,46.92559930766051,10,1,2.685853379152348,1,25.186653099206527,70190,1.5774232915471733
P-SCP2,370,0.9888777402113116,0.489554419284149,1.959072696050372,8,0.4755496706161147,tawa,-122.3973902834904,47.22107090831066,10,1,19.90515759312321,9.154088050314465,393.7502086406063,39644.85324947589,-0.3264196118012668
P-STP,141,1.6008304602375545,0.7463407273275993,3.9422962522308143,9,0.7285693400436578,tawa,-122.49173974370127,47.28530888330367,10,0.9978902953586498,14.34889716413635,5.5,252.72412914547257,110929,0.31202516598999747
P-TE2,267,0.6116417340150531,0.25260559132545013,1.3379816444886548,9,0.2783701494712798,tawa,-122.27951048782658,46.92219579840345,10,1,3.7815366972477062,1,11.371189373903368,70190,1.5023937860864083
P-UWT,605,0.9846612795442202,0.5156751588006283,2.0647299393597516,7,0.5060157993534525,tawa,-122.440170358001,47.2428796550409,10,0.6268343815513627,22.253589890867318,9.59958071278826,647.1800203923422,59584.70859538784,-1.4079756634602318
P-WBC,214,1.4692553134444537,0.7139924884269369,3.4964116659031914,9,0.6686869101135255,tawa,-122.30026973533973,47.16920045659492,10,1,22.530910131654263,7.039665970772442,277.78680372086745,83186.06471816284,-0.4037007818838206
P-WWP,1,0,0,1,2,0,tawa,-122.27665975935894,47.17281070545192,10,1,17.496132913205386,8,274.490995899,63385,0.023698789058973442
PER,370,1.001424989117641,0.5642512783053324,2.2949005934220676,5,0.6222203300797695,oaca,-122.19950062871013,37.714642110545945,10,0.8401937046004843,18.201432664756446,7.455399515738499,10.199430304884261,65159.418886198546,0.04710744752025381
PWETZ01,77,0.8346571247258714,0.45201551695058184,1.82486919052016,6,0.46583101083621864,lbca,-117.783433805852,33.793357122951015,11,0.9822335025380711,20.033256880733944,4.232131979695431,265.9881633341726,158361.60152284263,-0.20626224068998156
PWETZ02,124,0.5306468016317659,0.2463579604578563,1.3268898860890574,6,0.2961596189361203,lbca,-117.77695209834594,33.788527901882254,11,0.9846938775510204,20.848224513172966,3.71,514.5195746987127,156336,-0.5785503770489472
WP,171,1.278588684241586,0.6590745870524264,2.93319289798375,7,0.6570646054044718,oaca,-122.14016165799896,37.753773534843326,10,1,19.43989696622782,4.58,2.205100803882767,120972,0.1971890614478422
