Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca,J
ELMOD,JU21,lbca,-117.79282699635732,33.79870845016335,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9370277078085644,17.64300028628686,5.121183879093199,136.63467876646598,126768.45340050376,0.08565594920955563,30
EN,JA21,oaca,-122.20792986879542,37.73048775392695,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1849148418491484,20.61461318051576,7.46,1.1203054383375182,53580,-1.1463768394637428,27
G-FP1,AP21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,5,0,55,0,0,244,0,0,0,0,6,21,0,0,0,2,0,0,0,10,0.9180672268907564,22.881020642201836,8.47689075630252,418.87423501525905,63154.804621848736,-0.732979045563833,36
G-FP1,JA21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,2,0,29,1,0,496,0,0,0,0,31,28,0,0,0,4,0,0,0,10,0.9180672268907564,22.881020642201836,8.47689075630252,418.87423501525905,63154.804621848736,-0.732979045563833,30
G-FP1,JU21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,2,0,18,0,0,34,0,0,0,0,45,30,0,0,0,18,0,0,0,10,0.9180672268907564,22.881020642201836,8.47689075630252,418.87423501525905,63154.804621848736,-0.732979045563833,34
G-IP,AP21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,3,0,16,6,0,30,0,0,0,0,22,17,0,0,0,0,0,0,0,10,0.783157894736842,22.918075050128905,9.875789473684211,301.19218221361325,63699.44,-0.7967326538874875,36
G-IP,JA21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,2,0,2,6,0,24,0,0,0,0,41,0,0,0,0,0,0,0,0,10,0.783157894736842,22.918075050128905,9.875789473684211,301.19218221361325,63699.44,-0.7967326538874875,38
G-JP,AP21,tawa,-122.48980021466647,47.25733785038378,0,0,0,0,0,0,2,64,0,367,0,0,0,0,0,16,0,0,0,1,0,0,0,10,0.9410526315789474,22.872133027522935,7.5,843.3582343875032,99935.98315789472,-1.2223383715340117,36
G-JP,JA21,tawa,-122.48980021466647,47.25733785038378,0,0,0,0,0,0,6,44,1,407,0,0,0,0,4,13,0,0,0,7,0,0,0,10,0.9410526315789474,22.872133027522935,7.5,843.3582343875032,99935.98315789472,-1.2223383715340117,37
G-SB,AP21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,0,82,0,11,0,41,0,0,0,0,2,22,0,0,0,0,0,0,0,10,0.9432773109243696,9.008890163464295,5,237.50194768380672,88606,0.6963509673848022,36
G-SB,JA21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,0,68,0,17,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0.9432773109243696,9.008890163464295,5,237.50194768380672,88606,0.6963509673848022,30
G-SB,JU21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,2,64,0,0,6,22,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0.9432773109243696,9.008890163464295,5,237.50194768380672,88606,0.6963509673848022,34
G-SERA,AP21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,0,25,0,16,0,0,0,0,94,1,0,0,0,0,0,0,0,10,0.9435146443514644,22.55775293780453,8.867154811715482,180.17169196085084,53605.63807531381,-0.3715281345039043,34
G-SERA,JA21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,36,0,0,8,0,4,0,0,0,0,156,2,0,0,0,1,0,0,0,10,0.9435146443514644,22.55775293780453,8.867154811715482,180.17169196085084,53605.63807531381,-0.3715281345039043,30
G-SERA,JU21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,2,26,0,5,0,0,0,0,81,0,0,0,0,0,0,0,0,10,0.9435146443514644,22.55775293780453,8.867154811715482,180.17169196085084,53605.63807531381,-0.3715281345039043,34
G-TNC2,AP21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,9,177,0,0,0,113,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0.9978813559322034,21.75567039908125,7.5,297.5917582951695,70967,-0.3662643534953094,36
G-TNC2,JA21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,5,33,0,0,2,153,0,0,0,0,0,11,0,0,6,0,0,0,0,10,0.9978813559322034,21.75567039908125,7.5,297.5917582951695,70967,-0.3662643534953094,38
G-TNC2,JU21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,3,44,0,0,40,14,0,0,0,0,9,16,0,0,0,0,0,0,0,10,0.9978813559322034,21.75567039908125,7.5,297.5917582951695,70967,-0.3662643534953094,34
G-VP,AP21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,16,1,1,249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.9958246346555324,17.994262765347102,4,540.2620530184552,71810,-0.35342679177066894,36
G-VP,JA21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0.9958246346555324,17.994262765347102,4,540.2620530184552,71810,-0.35342679177066894,30
G-VP,JU21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,0,7,0,99,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0,10,0.9958246346555324,17.994262765347102,4,540.2620530184552,71810,-0.35342679177066894,34
G-WLP2,AP21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,8,0,0,0,30,0,0,0,10,0.9705263157894736,22.312607449856735,7.5,511.1130423903684,44366,-0.7191197504128171,36
G-WLP2,JA21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,0,0,13,0,0,8,0,0,0,0,0,54,0,0,0,14,0,0,0,10,0.9705263157894736,22.312607449856735,7.5,511.1130423903684,44366,-0.7191197504128171,30
G-WLP2,JU21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0.9705263157894736,22.312607449856735,7.5,511.1130423903684,44366,-0.7191197504128171,34
GT,AP21,oaca,-122.11884806430687,37.75976297425415,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5.872602347552247,2.48,3.545727761328568,151532,1.336261155863463,12
GT,JA21,oaca,-122.11884806430687,37.75976297425415,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,5.872602347552247,2.48,3.545727761328568,151532,1.336261155863463,19
GT,JU21,oaca,-122.11884806430687,37.75976297425415,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5.872602347552247,2.48,3.545727761328568,151532,1.336261155863463,17
H01-BEA2,AP21,paca,-118.23860893352784,34.18840910560693,0,11,0,4,4,5,0,0,0,0,0,4,0,0,30,0,0,0,1,0,0,0,0,11,1,9.593991416309011,5.38,0,131058,1.0277561405627145,30
H01-BEA2,JA21,paca,-118.23860893352784,34.18840910560693,0,0,0,0,3,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,9.593991416309011,5.38,0,131058,1.0277561405627145,21
H01-BEA2,JU21,paca,-118.23860893352784,34.18840910560693,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,9.593991416309011,5.38,0,131058,1.0277561405627145,30
H01-CCH1,AP21,paca,-118.19473427204494,34.17062801301575,1,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,10.765616045845272,4.88,279.0450684742168,155882,0.5839619737402586,30
H01-CCH1,JA21,paca,-118.19473427204494,34.17062801301575,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,10.765616045845272,4.88,279.0450684742168,155882,0.5839619737402586,43
H01-CCH1,JU21,paca,-118.19473427204494,34.17062801301575,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,10.765616045845272,4.88,279.0450684742168,155882,0.5839619737402586,30
H01-DEB1,AP21,paca,-118.19955983106364,34.09682057580613,0,0,0,17,4,0,1,0,0,0,0,29,0,0,32,0,0,0,7,0,0,0,0,11,0.9974683544303796,15.843114801030632,7.3,168.0363847242152,102000,0.29053791556788344,30
H01-DEB1,JA21,paca,-118.19955983106364,34.09682057580613,0,0,0,10,6,0,0,0,0,0,0,58,0,0,117,0,0,0,3,0,0,0,0,11,0.9974683544303796,15.843114801030632,7.3,168.0363847242152,102000,0.29053791556788344,55
H01-DEB1,JU21,paca,-118.19955983106364,34.09682057580613,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,11,0.9974683544303796,15.843114801030632,7.3,168.0363847242152,102000,0.29053791556788344,30
H01-HFR1,AP21,paca,-118.28028507983583,34.22324078580839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,11,1,0.14491086831512362,5.485127551020408,0,131058,1.822229837262211,30
H01-HFR1,JA21,paca,-118.28028507983583,34.22324078580839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,11,1,0.14491086831512362,5.485127551020408,0,131058,1.822229837262211,47
H01-HFR1,JU21,paca,-118.28028507983583,34.22324078580839,0,4,0,0,4,9,1,1,0,0,0,1,10,1,0,0,0,0,1,0,0,0,11,11,1,0.14491086831512362,5.485127551020408,0,131058,1.822229837262211,30
H01-HNP1,AP21,paca,-118.17428217013232,34.19328012284418,0,0,0,0,15,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,11,0.9025641025641026,16.239794461889808,6.11,7.749737597358974,92917,0.31042680660286087,2
H01-HNP1,JA21,paca,-118.17428217013232,34.19328012284418,0,0,0,0,47,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0.9025641025641026,16.239794461889808,6.11,7.749737597358974,92917,0.31042680660286087,38
H01-HNP1,JU21,paca,-118.17428217013232,34.19328012284418,0,0,0,0,24,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0.9025641025641026,16.239794461889808,6.11,7.749737597358974,92917,0.31042680660286087,30
