Site,season,City,Long,Lat,Black bear,Bobcat,Brush Rabbit,California Ground Squirrel,Coyote,Deer,Domestic cat,Domestic dog,Douglas squirrel,Eastern gray squirrel,Elk,Fox squirrel,Gray fox,Mountain lion,Rabbit,Raccoon,Red fox,Stoat,Striped Skunk,Virginia opossum,Weasel (cannot ID),Western Chipmunks,Western gray squirrel
PWETZ01,AP21,lbca,-117.783433805852,33.793357122951015,0,0,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H01-DEB1,AP21,paca,-118.19955983106364,34.09682057580613,0,0,0,17,4,0,1,0,0,0,0,29,0,0,32,0,0,0,7,0,0,0,0
H01-DEB1,JA21,paca,-118.19955983106364,34.09682057580613,0,0,0,10,6,0,0,0,0,0,0,58,0,0,117,0,0,0,3,0,0,0,0
H01-OXY1,AP21,paca,-118.20939813219788,34.126927657671985,0,0,0,13,0,0,0,1,0,0,0,13,0,0,8,1,0,0,1,0,0,0,0
H01-SPS1,JU21,paca,-118.16734266948976,34.124358734572354,0,0,0,12,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
BT,JA21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BT,JU21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CalT01,AP21,lbca,-117.91630006668773,33.815719290585086,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB,AP21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CB,JA21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,5,15,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0
CB,JU21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,5,0,0,0,0,0,0,12,0,0,1,4,0,0,0,0,0,0,0
CB,OC20,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,AP21,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CR,JA21,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
CR,OC20,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
ED05,AP21,lbca,-117.92932622641054,33.807315562752066,0,0,0,0,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
G-CBP2,AP21,tawa,-122.42682678938668,47.1883010270148,0,0,0,0,1,0,43,4,0,15,0,0,0,0,0,8,0,0,0,30,0,0,0
G-CBP2,JU21,tawa,-122.42682678938668,47.1883010270148,0,0,0,0,3,0,51,3,0,12,0,0,0,0,0,7,0,0,0,11,0,0,0
G-CLP3,OC20,tawa,-122.51054008250264,47.24624781414887,0,0,0,0,2,0,0,12,2,125,0,0,0,0,33,0,0,0,0,1,0,0,0
G-FP1,AP21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,5,0,55,0,0,244,0,0,0,0,6,21,0,0,0,2,0,0,0
G-FP1,JA21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,2,0,29,1,0,496,0,0,0,0,31,28,0,0,0,4,0,0,0
G-FP1,JU21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,2,0,18,0,0,34,0,0,0,0,45,30,0,0,0,18,0,0,0
G-IP,AP21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,3,0,16,6,0,30,0,0,0,0,22,17,0,0,0,0,0,0,0
G-IP,JA21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,2,0,2,6,0,24,0,0,0,0,41,0,0,0,0,0,0,0,0
G-KP2,JA21,tawa,-122.50799150845162,47.269061297727504,0,0,0,0,2,0,236,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
G-SB,JU21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,2,64,0,0,6,22,0,0,0,0,1,1,0,0,0,0,0,0,0
G-SB,OC20,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,2,76,0,16,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0
G-SERA,AP21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,0,25,0,16,0,0,0,0,94,1,0,0,0,0,0,0,0
G-SERA,JA21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,36,0,0,8,0,4,0,0,0,0,156,2,0,0,0,1,0,0,0
G-SERA,JU21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,2,26,0,5,0,0,0,0,81,0,0,0,0,0,0,0,0
G-TNC2,AP21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,9,177,0,0,0,113,0,0,0,0,1,0,0,0,0,0,0,1,0
G-TNC2,JA21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,5,33,0,0,2,153,0,0,0,0,0,11,0,0,6,0,0,0,0
G-TNC2,JU21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,3,44,0,0,40,14,0,0,0,0,9,16,0,0,0,0,0,0,0
G-TNC2,OC20,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,3,16,2,0,0,334,0,0,0,0,1,25,0,0,0,0,0,0,0
G-VP,AP21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,16,1,1,249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G-VP,OC20,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,5,3,0,71,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0
G-WLP2,AP21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,8,0,0,0,30,0,0,0
GT,AP21,oaca,-122.11884806430687,37.75976297425415,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-BEA2,JA21,paca,-118.23860893352784,34.18840910560693,0,0,0,0,3,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H01-CCH1,JA21,paca,-118.19473427204494,34.17062801301575,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-CCH1,JU21,paca,-118.19473427204494,34.17062801301575,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-CCH1,OC20,paca,-118.19473427204494,34.17062801301575,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-DEB1,JU21,paca,-118.19955983106364,34.09682057580613,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0
H01-FIR2,AP21,paca,-118.21556469284234,34.17285827499284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-HNP1,AP21,paca,-118.17428217013232,34.19328012284418,0,0,0,0,15,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
H01-HNP1,JA21,paca,-118.17428217013232,34.19328012284418,0,0,0,0,47,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
H01-HNP1,JU21,paca,-118.17428217013232,34.19328012284418,0,0,0,0,24,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
H01-OCC1,AP21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,2,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
H01-OCC1,JA21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0
H01-OCC1,JU21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-SPS1,AP21,paca,-118.16734266948976,34.124358734572354,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-SPS1,JA21,paca,-118.16734266948976,34.124358734572354,0,0,0,0,17,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
H01-SPS1,OC20,paca,-118.16734266948976,34.124358734572354,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-WAV1,AP21,paca,-118.31108646234128,34.24302479928483,0,0,0,0,5,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0
H01-WWD1,AP21,paca,-118.2582246305454,34.21661561280118,0,0,0,0,4,0,0,119,0,0,0,2,1,0,5,0,0,0,0,0,0,0,1
H01-WWD1,JU21,paca,-118.2582246305454,34.21661561280118,0,0,0,0,5,1,0,65,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
H18,AP21,oaca,-122.12281431345347,37.7423411134739,0,0,0,0,7,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
H18,JA21,oaca,-122.12281431345347,37.7423411134739,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18,JU21,oaca,-122.12281431345347,37.7423411134739,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18,OC20,oaca,-122.12281431345347,37.7423411134739,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBT,AP21,oaca,-122.1082052795166,37.72840774799266,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC01,AP21,lbca,-117.74100210763476,33.77069310192292,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC03,JU21,lbca,-117.70310242313036,33.76085865201455,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IRC04,AP21,lbca,-117.68302581073524,33.75233115011393,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC05,AP21,lbca,-117.66801033275596,33.745793332380615,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC06,JU21,lbca,-117.65291929031022,33.73468139211798,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-BLP,AP21,tawa,-122.28283031300816,47.16168229763593,0,0,0,0,5,1,0,14,4,67,0,0,0,0,0,1,0,0,0,9,0,0,0
P-BLP,JA21,tawa,-122.28283031300816,47.16168229763593,0,0,0,0,3,1,3,24,0,27,0,0,0,0,2,2,0,0,0,5,0,0,0
P-BLP,JU21,tawa,-122.28283031300816,47.16168229763593,0,0,0,0,4,7,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P-CCP,AP21,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,5,2,0,19,0,16,0,0,0,0,107,46,0,0,17,1,2,0,0
P-CCP,JA21,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,20,1,0,11,0,67,0,0,0,0,7,86,0,0,4,0,0,0,0
P-CCP,JU21,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,7,4,4,7,0,127,0,0,0,0,2,15,0,0,83,0,0,0,0
P-CCP,OC20,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,5,12,0,9,0,41,0,0,0,0,18,47,0,0,16,4,0,0,0
P-CUP,AP21,tawa,-122.471320086731,47.27295174449351,0,0,0,0,15,17,7,15,0,0,0,0,0,0,0,61,0,0,0,14,0,0,0
P-CUP,JA21,tawa,-122.471320086731,47.27295174449351,0,0,0,0,3,21,0,8,0,1,0,0,0,0,0,43,0,0,0,3,0,0,0
P-CUP,OC20,tawa,-122.471320086731,47.27295174449351,0,0,0,0,9,24,0,4,0,0,0,0,0,0,0,23,0,0,0,13,0,0,0
P-DPV,AP21,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,5,35,0,2,2,7,0,0,0,0,0,7,0,0,0,0,0,6,0
P-DPV,JU21,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,1,16,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
P-GP,OC20,tawa,-122.45745032482698,47.269890460874926,0,0,0,0,1,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P-MKP3,JA21,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0
P-MKP3,JU21,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,4,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
P-MKP3,OC20,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,5,2,2,87,0,31,0,0,0,0,0,1,0,0,0,3,0,0,0
P-OB,JU21,tawa,-122.5304601657384,47.31318888282613,0,0,0,0,3,3,0,2,1,18,0,0,0,0,0,2,0,0,0,0,0,2,0
P-OB,OC20,tawa,-122.5304601657384,47.31318888282613,0,0,0,0,1,18,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0
P-OLT,AP21,tawa,-122.2727399501913,46.91265010614948,0,0,0,0,12,13,5,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0
P-OLT,JA21,tawa,-122.2727399501913,46.91265010614948,0,0,0,0,22,29,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
P-OV2,JA21,tawa,-122.34327690455926,46.87009737411258,0,0,0,0,6,0,0,0,0,0,35,0,0,0,3,3,0,0,0,0,0,0,0
P-OV2,JU21,tawa,-122.34327690455926,46.87009737411258,0,0,0,0,11,1,2,0,0,0,33,0,0,0,1,0,0,0,0,2,0,0,0
P-PCNA2,JA21,tawa,-122.48432986987385,47.27683082960451,0,0,0,0,1,15,0,11,0,0,0,0,0,0,1,28,0,0,0,3,0,0,0
P-PCNA2,JU21,tawa,-122.48432986987385,47.27683082960451,0,0,0,0,3,0,2,0,0,5,0,0,0,0,1,13,0,0,0,0,0,0,0
P-RP,OC20,tawa,-122.51225005999778,47.29719932320845,0,0,0,0,14,66,10,27,0,176,0,0,0,0,27,73,0,0,0,0,0,0,0
P-RWSR,JA21,tawa,-122.26845992226572,46.92559930766051,0,0,0,0,11,24,0,0,1,0,12,0,0,0,4,13,0,0,0,3,0,0,0
P-STP,JA21,tawa,-122.49173974370127,47.28530888330367,0,0,0,0,2,20,0,1,0,0,0,0,0,0,4,24,0,0,0,2,0,0,0
P-STP,JU21,tawa,-122.49173974370127,47.28530888330367,0,0,0,0,6,26,0,1,0,3,0,0,0,0,6,13,0,0,3,6,0,0,0
P-WBC,AP21,tawa,-122.30026973533973,47.16920045659492,0,0,0,0,15,0,0,1,0,8,0,0,0,0,2,24,0,0,2,2,0,0,0
P-WBC,JA21,tawa,-122.30026973533973,47.16920045659492,0,0,0,0,16,1,0,0,0,9,0,0,0,0,11,35,0,0,0,0,0,0,0
P-WBC,JU21,tawa,-122.30026973533973,47.16920045659492,0,0,0,0,17,0,0,0,0,8,0,0,0,0,7,2,0,0,0,0,0,0,0
P-WBC,OC20,tawa,-122.30026973533973,47.16920045659492,0,0,0,0,36,6,0,2,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0
WP,JU21,oaca,-122.14016165799896,37.753773534843326,0,0,0,0,27,38,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
BT,AP21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G-KP2,AP21,tawa,-122.50799150845162,47.269061297727504,0,0,0,0,0,19,138,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
G-KP2,OC20,tawa,-122.50799150845162,47.269061297727504,0,0,0,0,0,2,75,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
G-SB,AP21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,0,82,0,11,0,41,0,0,0,0,2,22,0,0,0,0,0,0,0
G-SB,JA21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,0,68,0,17,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0
G-VP,JA21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
G-VP,JU21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,0,7,0,99,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0
GT,JU21,oaca,-122.11884806430687,37.75976297425415,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-FIR2,JU21,paca,-118.21556469284234,34.17285827499284,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-RHR1,JU21,paca,-118.15865713228422,34.21804765416623,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-RHR1,OC20,paca,-118.15865713228422,34.21804765416623,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBT,OC20,oaca,-122.1082052795166,37.72840774799266,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC06,AP21,lbca,-117.65291929031022,33.73468139211798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-CUP,JU21,tawa,-122.471320086731,47.27295174449351,0,0,0,0,0,60,1,3,0,1,0,0,0,0,0,19,0,0,0,46,0,0,0
P-DPV,JA21,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,0,67,0,0,2,10,0,0,0,0,0,9,0,0,0,0,1,0,0
P-DPV,OC20,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,0,26,0,1,1,45,0,0,0,0,0,9,0,0,0,0,0,0,0
P-GP,AP21,tawa,-122.45745032482698,47.269890460874926,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-GP,JA21,tawa,-122.45745032482698,47.269890460874926,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-MKP3,AP21,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,0,3,0,15,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0
P-OB,JA21,tawa,-122.5304601657384,47.31318888282613,0,0,0,0,0,55,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
P-PCNA2,OC20,tawa,-122.48432986987385,47.27683082960451,0,0,0,0,0,7,1,7,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0
P-RP,JU21,tawa,-122.51225005999778,47.29719932320845,0,0,0,0,0,15,4,5,0,1,0,0,0,0,14,38,0,0,0,6,0,0,0
P-SCP2,OC20,tawa,-122.3973902834904,47.22107090831066,0,0,0,0,0,12,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0
P-STP,OC20,tawa,-122.49173974370127,47.28530888330367,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,6,0,0,0,12,0,0,0
P-TE2,JA21,tawa,-122.27951048782658,46.92219579840345,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
