Species,locationID,city,season,count,Site,utmEast,utmNorth,utmZone,long,lat
Coyote,3388,oaca,JA21,6,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Coyote,3388,oaca,JU21,6,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Coyote,3388,oaca,OC20,3,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Coyote,3388,oaca,OC21,11,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Coyote,3389,oaca,AP21,5,WP,575743.9375,4178844.25,10,-122.14016165799895,37.753773534843326
Coyote,3389,oaca,JA21,5,WP,575743.9375,4178844.25,10,-122.14016165799895,37.753773534843326
Coyote,3389,oaca,JU21,27,WP,575743.9375,4178844.25,10,-122.14016165799895,37.753773534843326
Coyote,3389,oaca,OC20,16,WP,575743.9375,4178844.25,10,-122.14016165799895,37.753773534843326
Coyote,3389,oaca,OC21,12,WP,575743.9375,4178844.25,10,-122.14016165799895,37.753773534843326
Coyote,3464,tawa,JA21,1,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Coyote,3464,tawa,JU21,4,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Coyote,3464,tawa,OC20,5,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Coyote,3469,tawa,JA21,6,P-OV2,550048.5625,5190938,10,-122.34327690455926,46.87009737411258
Coyote,3469,tawa,JU21,11,P-OV2,550048.5625,5190938,10,-122.34327690455926,46.87009737411258
Coyote,3469,tawa,OC21,2,P-OV2,550048.5625,5190938,10,-122.34327690455926,46.87009737411258
Coyote,3471,tawa,AP21,3,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Coyote,3471,tawa,JA21,2,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Coyote,3472,tawa,AP21,38,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
Coyote,3472,tawa,JA21,36,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
Coyote,3472,tawa,JU21,38,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
Coyote,3474,tawa,AP21,1,G-CBP2,543422.4375,5226249,10,-122.42682678938667,47.1883010270148
Coyote,3474,tawa,JU21,3,G-CBP2,543422.4375,5226249,10,-122.42682678938667,47.1883010270148
Coyote,4333,tawa,JA21,2,G-KP2,537217,5235182,10,-122.50799150845162,47.269061297727504
Domestic cat,2305,tawa,AP21,55,G-FP1,539350,5232700,10,-122.48001311823171,47.24660376310076
Domestic cat,2305,tawa,JA21,29,G-FP1,539350,5232700,10,-122.48001311823171,47.24660376310076
Domestic cat,2305,tawa,JU21,18,G-FP1,539350,5232700,10,-122.48001311823171,47.24660376310076
Domestic cat,2310,tawa,JU21,4,P-RP,536875.3125,5238307,10,-122.51225005999778,47.29719932320845
Domestic cat,2310,tawa,OC20,10,P-RP,536875.3125,5238307,10,-122.51225005999778,47.29719932320845
Domestic cat,2320,tawa,JU21,2,P-PCNA2,539001.125,5236057,10,-122.48432986987385,47.27683082960451
Domestic cat,2320,tawa,OC20,1,P-PCNA2,539001.125,5236057,10,-122.48432986987385,47.27683082960451
Domestic cat,2321,tawa,AP21,7,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
Domestic cat,2321,tawa,JU21,1,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
Domestic cat,2324,tawa,OC20,3,P-MCP,542065.02,5233490.25,10,-122.44406301593588,47.253545969918875
Domestic cat,2331,tawa,JA21,1,P-SCP2,545624.375,5229907.5,10,-122.3973902834904,47.22107090831066
Domestic cat,2331,tawa,JU21,10,P-SCP2,545624.375,5229907.5,10,-122.3973902834904,47.22107090831066
Domestic cat,2334,tawa,JU21,4,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
Domestic cat,2338,tawa,JA21,3,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Domestic cat,2338,tawa,JU21,1,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Domestic cat,2342,tawa,AP21,5,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Domestic cat,2342,tawa,OC20,2,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Domestic cat,2342,tawa,OC21,2,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Domestic cat,2347,tawa,AP21,1,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Domestic cat,2349,tawa,AP21,2,G-JP,538601.5625,5233888,10,-122.48980021466649,47.25733785038378
Domestic cat,2349,tawa,JA21,6,G-JP,538601.5625,5233888,10,-122.48980021466649,47.25733785038378
Domestic cat,2354,tawa,OC20,2,G-TNC2,538575.5,5231997,10,-122.49030793253215,47.240324138072616
Domestic cat,2362,tawa,AP21,1,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Domestic cat,2362,tawa,JA21,13,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Domestic cat,2362,tawa,JU21,1,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Domestic cat,2362,tawa,OC20,6,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Domestic cat,2364,tawa,AP21,1,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
Domestic cat,2364,tawa,JU21,8,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
Domestic cat,3383,oaca,AP21,180,AB,567123,4183440,10,-122.23759206133575,37.79586579832616
Domestic cat,3383,oaca,JA21,200,AB,567123,4183440,10,-122.23759206133575,37.79586579832616
Domestic cat,3383,oaca,JU21,19,AB,567123,4183440,10,-122.23759206133575,37.79586579832616
Domestic cat,3383,oaca,OC20,62,AB,567123,4183440,10,-122.23759206133575,37.79586579832616
Domestic cat,3383,oaca,OC21,19,AB,567123,4183440,10,-122.23759206133575,37.79586579832616
Domestic cat,3385,oaca,OC21,1,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
Domestic cat,3387,oaca,JU21,1,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Domestic cat,3390,oaca,AP21,47,DY,571940,4182400,10,-122.18298694516211,37.78612625493866
Domestic cat,3390,oaca,JU21,26,DY,571940,4182400,10,-122.18298694516211,37.78612625493866
Domestic cat,3390,oaca,OC21,47,DY,571940,4182400,10,-122.18298694516211,37.78612625493866
Domestic cat,3391,oaca,AP21,1,MA,570794.25,4175410.25,10,-122.19667933091583,37.72322142384811
Domestic cat,3391,oaca,OC20,1,MA,570794.25,4175410.25,10,-122.19667933091583,37.72322142384811
Domestic cat,3393,oaca,AP21,59,PER,570553.75,4174456.25,10,-122.19950062871011,37.714642110545945
Domestic cat,3393,oaca,JU21,39,PER,570553.75,4174456.25,10,-122.19950062871011,37.714642110545945
Domestic cat,3464,tawa,OC20,2,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Domestic cat,3467,tawa,AP21,5,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
Domestic cat,3467,tawa,JA21,1,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
Domestic cat,3467,tawa,JU21,20,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
Domestic cat,3467,tawa,OC20,5,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
Domestic cat,3469,tawa,JU21,2,P-OV2,550048.5625,5190938,10,-122.34327690455926,46.87009737411258
Domestic cat,3471,tawa,AP21,16,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Domestic cat,3471,tawa,JA21,2,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Domestic cat,3471,tawa,OC20,4,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Domestic cat,3472,tawa,JU21,2,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
Domestic cat,3474,tawa,AP21,43,G-CBP2,543422.4375,5226249,10,-122.42682678938667,47.1883010270148
Domestic cat,3474,tawa,JU21,51,G-CBP2,543422.4375,5226249,10,-122.42682678938667,47.1883010270148
Domestic cat,4333,tawa,AP21,138,G-KP2,537217,5235182,10,-122.50799150845162,47.269061297727504
Domestic cat,4333,tawa,JA21,236,G-KP2,537217,5235182,10,-122.50799150845162,47.269061297727504
Domestic cat,4333,tawa,OC20,75,G-KP2,537217,5235182,10,-122.50799150845162,47.269061297727504
Domestic dog,2305,tawa,JA21,1,G-FP1,539350,5232700,10,-122.48001311823171,47.24660376310076
Domestic dog,2309,tawa,JA21,20,P-OB,535487.875,5240075.5,10,-122.5304601657384,47.31318888282613
Domestic dog,2309,tawa,JU21,2,P-OB,535487.875,5240075.5,10,-122.5304601657384,47.31318888282613
Domestic dog,2310,tawa,JU21,5,P-RP,536875.3125,5238307,10,-122.51225005999778,47.29719932320845
Domestic dog,2310,tawa,OC20,27,P-RP,536875.3125,5238307,10,-122.51225005999778,47.29719932320845
Domestic dog,2311,tawa,JA21,1,P-STP,538434.5625,5236995.5,10,-122.49173974370129,47.28530888330367
Domestic dog,2311,tawa,JU21,1,P-STP,538434.5625,5236995.5,10,-122.49173974370129,47.28530888330367
Domestic dog,2316,tawa,AP21,2,P-DPV,534489.5625,5240438.5,10,-122.5436402745423,47.3165085016772
Domestic dog,2316,tawa,OC20,1,P-DPV,534489.5625,5240438.5,10,-122.5436402745423,47.3165085016772
Domestic dog,2320,tawa,JA21,11,P-PCNA2,539001.125,5236057,10,-122.48432986987385,47.27683082960451
Domestic dog,2320,tawa,OC20,7,P-PCNA2,539001.125,5236057,10,-122.48432986987385,47.27683082960451
Domestic dog,2321,tawa,AP21,15,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
Domestic dog,2321,tawa,JA21,8,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
Domestic dog,2321,tawa,JU21,3,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
Domestic dog,2321,tawa,OC20,4,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
Domestic dog,2331,tawa,AP21,2,P-SCP2,545624.375,5229907.5,10,-122.3973902834904,47.22107090831066
Domestic dog,2331,tawa,OC20,1,P-SCP2,545624.375,5229907.5,10,-122.3973902834904,47.22107090831066
Domestic dog,2334,tawa,AP21,19,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
Domestic dog,2334,tawa,JA21,11,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
Domestic dog,2334,tawa,JU21,7,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
Domestic dog,2334,tawa,OC20,9,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
Domestic dog,2334,tawa,OC21,3,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
Domestic dog,2336,tawa,AP21,1,P-WBC,553029.125,5224204.5,10,-122.30026973533971,47.16920045659492
