Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca
IRC01,JU21,lbca,-117.74100210763476,33.77069310192292,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.871536523929471,3.301087578706354,5.49,0.012874805042622166,102567.83375314862,1.3604435228288365
IRC02,AP21,lbca,-117.7253524420718,33.76796313242066,0,4,17,1,6,1,0,0,0,0,0,0,53,0,0,0,0,0,4,5,0,0,0,11,0.9974358974358974,1.9954075774971298,5.49,0.06759880769072307,112655.06410256411,1.6626372921464687
IRC03,AP21,lbca,-117.70310242313036,33.76085865201455,0,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,11,1,1.3990260670295045,5.49,0,116650.22081218274,1.7167844944112418
IRC04,JU21,lbca,-117.68302581073524,33.75233115011393,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2.061962134251291,4.886405063291139,0.10700018681983545,141315.82025316457,1.6609127805621247
IRC05,AP21,lbca,-117.66801033275596,33.745793332380615,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9923469387755102,3.1890575766256086,4.18,6.315636905781123,122361.25,1.546764410528605
IRC06,JU21,lbca,-117.65291929031022,33.73468139211798,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9974683544303797,2.048780487804878,4.18,1.1953189601472658,121812.08101265822,1.6568039302164295
IRC07,OC20,lbca,-117.6474829372618,33.719440685685356,0,6,19,0,0,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,11,0.09090909090909091,2.057052752293578,4.18,4.001152944702096,134619.72727272726,0.26664812760258416
OAK,AP21,lbca,-117.80007884799603,33.81065672706404,0,0,27,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,11,0.8239795918367347,17.278048780487804,5.102372448979592,199.35643627920842,120314.25510204081,-0.13410274615922257
PWETZ01,JU21,lbca,-117.783433805852,33.793357122951015,0,2,29,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9822335025380711,20.033256880733944,4.232131979695431,265.9881633341726,158361.60152284263,-0.20626224068998156
PWETZ02,AP21,lbca,-117.77695209834594,33.788527901882254,0,7,3,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0.9846938775510204,20.848224513172966,3.71,514.5195746987127,156336,-0.5785503770489472
G-CBP2,AP21,tawa,-122.42682678938668,47.1883010270148,0,0,0,0,1,0,43,4,0,15,0,0,0,0,0,8,0,0,0,30,0,0,0,10,1,22.25386376645678,10,516.7714187052705,39642,-0.6761214820777686
G-CLP3,OC20,tawa,-122.51054008250264,47.24624781414887,0,0,0,0,2,0,0,12,2,125,0,0,0,0,33,0,0,0,0,1,0,0,0,10,0.9727463312368972,22.184941311193818,8,412.353522489044,48932.17819706499,-0.5827886057933606
G-FP1,AP21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,5,0,55,0,0,244,0,0,0,0,6,21,0,0,0,2,0,0,0,10,0.9180672268907563,22.881020642201836,8.97689075630252,418.87423501525905,63154.804621848736,-0.732979045563833
G-IP,AP21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,3,0,16,6,0,30,0,0,0,0,22,17,0,0,0,0,0,0,0,10,0.783157894736842,22.918075050128902,10,301.19218221361325,63699.44,-0.7967326538874875
G-JP,AP21,tawa,-122.48980021466647,47.25733785038378,0,0,0,0,0,0,2,64,0,367,0,0,0,0,0,16,0,0,0,1,0,0,0,10,0.9410526315789474,22.872133027522935,3.7936842105263158,843.3582343875032,99935.98315789473,-1.2223383715340117
G-KP2,JA21,tawa,-122.50799150845162,47.269061297727504,0,0,0,0,2,0,236,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0.95625,22.960401721664276,5.158333333333333,546.1041409885687,77322.90833333334,-0.8387094816869023
G-SB,JU21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,2,64,0,0,6,22,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0.9432773109243697,9.008890163464295,6,237.50194768380672,88606,0.6963509673848022
G-SERA,AP21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,0,25,0,16,0,0,0,0,94,1,0,0,0,0,0,0,0,10,0.9435146443514645,22.55775293780453,10,180.17169196085084,53605.63807531381,-0.3715281345039043
G-TNC2,AP21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,9,177,0,0,0,113,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0.9978813559322034,21.75567039908125,8,297.5917582951695,70967,-0.3662643534953094
G-VP,AP21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,16,1,1,249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.9958246346555324,17.994262765347102,4,540.2620530184552,71810,-0.35342679177066894
G-WLP2,AP21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,8,0,0,0,30,0,0,0,10,0.9705263157894737,22.312607449856735,10,511.11304239036843,44366,-0.7191197504128171
P-BLP,AP21,tawa,-122.28283031300816,47.16168229763593,0,0,0,0,5,1,0,14,4,67,0,0,0,0,0,1,0,0,0,9,0,0,0,10,0.9010526315789473,19.862880091795756,8,190.67572203852632,59750,-0.22285994603945883
P-CCP,AP21,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,5,2,0,19,0,16,0,0,0,0,107,46,0,0,17,1,2,0,0,10,1,17.386357122384638,7,220.62691676635504,73125,0.09957897525647229
P-CUP,AP21,tawa,-122.471320086731,47.27295174449351,0,0,0,0,15,17,7,15,0,0,0,0,0,0,0,61,0,0,0,14,0,0,0,10,1,17.743150684931507,2,763.9101210769622,129773,-0.6026674219476345
P-DPV,AP21,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,5,35,0,2,2,7,0,0,0,0,0,7,0,0,0,0,0,6,0,10,0.9225941422594143,1.1476817401259303,6,0,88606,1.6195758512944007
P-GP,OC20,tawa,-122.45745032482698,47.269890460874926,0,0,0,0,1,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9979166666666667,16.152323580034423,5,619.9234059690375,69066,-0.29393043468624447
P-MKP3,JA21,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,10,0.7584033613445378,22.602853067047075,10,429.0914242201643,62994.36974789916,-0.9663346679412126
P-OB,JU21,tawa,-122.5304601657384,47.31318888282613,0,0,0,0,3,3,0,2,1,18,0,0,0,0,0,2,0,0,0,0,0,2,0,10,0.7229166666666667,2.2156581588758244,6,0,88606,1.2245050932122008
P-OLT,JU21,tawa,-122.2727399501913,46.91265010614948,2,2,0,0,1,34,0,0,9,0,2,0,0,0,0,7,0,0,0,12,0,68,0,10,0.9451476793248945,1.8497424155695479,2,2.9819160588531646,70190,1.5913380570462554
P-OV2,JA21,tawa,-122.34327690455926,46.87009737411258,0,0,0,0,6,0,0,0,0,0,35,0,0,0,3,3,0,0,0,0,0,0,0,10,1,2.3218785796105386,2,11.554465603122013,70190,1.6248942866793068
P-PCNA2,JA21,tawa,-122.48432986987385,47.27683082960451,0,0,0,0,1,15,0,11,0,0,0,0,0,0,1,28,0,0,0,3,0,0,0,10,1,18.71195652173913,2.3389830508474576,533.6810909686102,126579.10169491525,-0.3992434717469271
P-RP,OC20,tawa,-122.51225005999778,47.29719932320845,0,0,0,0,14,66,10,27,0,176,0,0,0,0,27,73,0,0,0,0,0,0,0,10,0.9516806722689075,20.868941783768282,6,782.0506131775735,88606,-0.9618017058481654
P-RWSR,OC20,tawa,-122.26845992226572,46.92559930766051,1,0,0,0,29,19,0,0,0,0,19,0,0,0,0,5,0,0,1,0,0,0,0,10,1,2.685853379152348,2,25.186653099206527,70190,1.5774232915471733
P-SCP2,OC20,tawa,-122.3973902834904,47.22107090831066,0,0,0,0,0,12,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,1,19.90515759312321,9.727463312368974,393.7502086406063,39644.85324947589,-0.3264196118012668
P-STP,JA21,tawa,-122.49173974370127,47.28530888330367,0,0,0,0,2,20,0,1,0,0,0,0,0,0,4,24,0,0,0,2,0,0,0,10,0.9978902953586498,14.34889716413635,4,252.72412914547257,110929,0.31202516598999747
P-TE2,AP21,tawa,-122.27951048782658,46.92219579840345,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,3.7815366972477062,2,11.371189373903368,70190,1.5023937860864083
P-UWT,AP21,tawa,-122.440170358001,47.2428796550409,0,0,0,0,0,0,5,1,0,57,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0.6268343815513627,22.253589890867318,10,647.1800203923422,59584.70859538784,-1.4079756634602318
P-WBC,AP21,tawa,-122.30026973533973,47.16920045659492,0,0,0,0,15,0,0,1,0,8,0,0,0,0,2,24,0,0,2,2,0,0,0,10,1,22.530910131654263,7.65553235908142,277.78680372086745,83186.06471816284,-0.4037007818838206
P-WWP,JA21,tawa,-122.27665975935894,47.17281070545192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,17.496132913205386,10,274.490995899,63385,0.023698789058973442
